FY,Course Cd,Course,Class No,Name,SSN,Start Date,End Date,Ctry,Comp,Rnk,PMOS,Training MOS,Gender,IPStatus Cd,IPStatus Reason,OPStatus Cd,OPReason,Remarks
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Joyner, Tatiana U.","745967752","2018-04-01","2018-06-01","","C","SFC","15A","10D","F","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Justice, Heidi W.","639087584","2018-01-01","2018-01-31","","C","CPT","12S","10B","F","N","","F","Exam 4",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Kerr, David D.","030121453","2020-02-18","2018-03-18","","C","SSG","11H","10A","M","R","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Kerr, David D.","030121453","2018-04-01","2018-06-01","","C","SSG","11H","10A","M","N","","F","Exam 1",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Knox, Rylee J.","350426888","2018-04-01","2018-06-01","","C","SFC","12L","10D","F","R","","F","Medical",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Larsen, Gary E.","759555667","2018-01-01","2018-01-31","","C","CPT","12R","10A","M","N","","F","Exam 2",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Lawrence, Bethany P.","031416001","2018-04-01","2018-06-01","","C","SFC","11H","10A","F","N","","F","Personal",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Levy, Chase F.","405709494","2020-02-18","2018-03-18","","C","SFC","12W","10D","M","N","","F","Other",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Mcfadden, Jelani R.","517386918","2018-01-01","2018-01-31","","C","SSG","12F","10C","F","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Mcfadden, Jelani R.","517386918","2020-02-18","2018-03-18","","C","SSG","12F","10C","F","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Mcfadden, Jelani R.","517386918","2018-04-01","2018-06-01","","C","SSG","12F","10C","F","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Mcmahon, Abigail H.","062655394","2018-01-01","2018-01-31","","C","CPT","12M","10E","F","N","","F","Exam 4",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Mcmahon, Keelie O.","329790471","2018-01-01","2018-01-31","","C","CPT","12M","10D","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Mcmahon, Keelie O.","329790471","2020-02-18","2018-03-18","","C","CPT","12M","10D","M","N","","F","Medical",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Melendez, Dolan B.","585655657","2018-01-01","2018-01-31","","C","SSG","12L","10E","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Melendez, Dolan B.","585655657","2020-02-18","2018-03-18","","C","SSG","12L","10E","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Melendez, Dolan B.","585655657","2018-04-01","2018-06-01","","C","SSG","12L","10E","M","N","","F","Exam 3",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Moreno, Palmer B.","232780023","2018-01-01","2018-01-31","","C","SSG","12R","10A","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Moreno, Palmer B.","232780023","2020-02-18","2018-03-18","","C","SSG","12R","10A","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Moreno, Palmer B.","232780023","2018-04-01","2018-06-01","","C","SSG","12R","10A","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Morris, Penelope B.","994056471","2020-02-18","2018-03-18","","C","SFC","18F","10A","F","N","","F","Medical",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Nash, Martena A.","854034477","2018-01-01","2018-01-31","","C","CPT","12S","10D","F","N","","F","Medical",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Patterson, Rooney O.","162938062","2018-04-01","2018-06-01","","C","SFC","16A","10E","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Pitts, Mannix C.","066812306","2018-04-01","2018-06-01","","C","SFC","15E","10A","M","R","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Powers, Flynn M.","904696762","2018-01-01","2018-01-31","","C","SSG","12W","10D","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Powers, Flynn M.","904696762","2020-02-18","2018-03-18","","C","SSG","12W","10D","M","N","","F","Other",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Ramos, Shelly I.","248664146","2018-01-01","2018-01-31","","C","CPT","12M","10A","F","N","","F","Run",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Rosales, Gil G.","165344524","2020-02-18","2018-03-18","","C","SSG","10F","10A","M","R","","F","Exam 1",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Roth, Vanna V.","487363145","2020-02-18","2018-03-18","","C","SSG","19S","10C","F","N","","F","Exam 9",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Sanchez, Lael S.","209553551","2018-01-01","2018-01-31","","C","CPT","12N","10A","M","N","","F","Exam 2",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Serrano, Mohammad W.","286359542","2018-01-01","2018-01-31","","C","SSG","12R","10A","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Serrano, Mohammad W.","286359542","2020-02-18","2018-03-18","","C","SSG","12R","10A","M","N","","F","Exam 1",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Singleton, Tanek A.","847965597","2020-02-18","2018-03-18","","C","CPT","15A","10D","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Singleton, Tanek A.","847965597","2018-04-01","2018-06-01","","C","CPT","15A","10D","M","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Spence, Jescie U.","109335687","2018-01-01","2018-01-31","","C","CPT","12E","10C","M","N","","F","Exam 1",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Thornton, Sierra Q.","724009055","2018-01-01","2018-01-31","","C","SSG","12O","10B","F","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Thornton, Sierra Q.","724009055","2020-02-18","2018-03-18","","C","SSG","12O","10B","F","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Thornton, Sierra Q.","724009055","2018-04-01","2018-06-01","","C","SSG","12O","10B","F","N","","P","",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Underwood, Daria J.","232955856","2018-01-01","2018-01-31","","C","CPT","12D","10E","F","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Underwood, Daria J.","232955856","2020-02-18","2018-03-18","","C","CPT","12D","10E","F","N","","F","Other",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Valencia, MacKensie O.","489869149","2018-01-01","2018-01-31","","C","SSG","12L","10D","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Valencia, MacKensie O.","489869149","2020-02-18","2018-03-18","","C","SSG","12L","10D","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Valencia, MacKensie O.","489869149","2018-04-01","2018-06-01","","C","SSG","12L","10D","M","N","","F","Medical",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Willis, Warren S.","839134855","2018-01-01","2018-01-31","","C","SSG","19L","10E","M","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Willis, Warren S.","839134855","2020-02-18","2018-03-18","","C","SSG","19L","10E","M","N","","F","Exam 1",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Workman, Kyra W.","938000387","2018-01-01","2018-01-31","","C","SSG","12R","10B","F","R","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Workman, Kyra W.","938000387","2020-02-18","2018-03-18","","C","SSG","12R","10B","F","N","","F","Exam 8",""
"2018","1","SF ASSESSMENT AND SELECTION (SFAS)","200","Wyatt, Tyrone S.","179579644","2018-01-01","2018-01-31","","C","SSG","13A","10A","M","N","","P","",""
"2018","2","SF ASSESSMENT AND SELECTION (SFAS)","201","Wyatt, Tyrone S.","179579644","2020-02-18","2018-03-18","","C","SSG","13A","10A","M","N","","P","",""
"2018","3","SF ASSESSMENT AND SELECTION (SFAS)","312","Wyatt, Tyrone S.","179579644","2018-04-01","2018-06-01","","C","SSG","13A","10A","M","N","","P","",""
