Name,ID,Race,Rank,Role,Training,Course,Iteration ,Started,Ended,InStat,Outstat,OutReason
"Mcmahon, Keelie O.",329790471,C,CPT,12M,10D,2,201,2/18/2020,3/18/2018,N,F,Medical
"Melendez, Dolan B.",585655657,C,SSG,12L,10E,1,200,1/1/2018,1/31/2018,N,P,
"Melendez, Dolan B.",585655657,C,SSG,12L,10E,2,201,2/18/2020,3/18/2018,N,P,
"Melendez, Dolan B.",585655657,C,SSG,12L,10E,3,312,4/1/2018,6/1/2018,N,F,Exam 3
"Moreno, Palmer B.",232780023,C,SSG,12R,10A,1,200,1/1/2018,1/31/2018,N,P,
"Moreno, Palmer B.",232780023,C,SSG,12R,10A,2,201,2/18/2020,3/18/2018,N,P,
"Moreno, Palmer B.",232780023,C,SSG,12R,10A,3,312,4/1/2018,6/1/2018,N,P,
"Morris, Penelope B.",994056471,C,SFC,18F,10A,2,201,2/18/2020,3/18/2018,N,F,Medical
"Nash, Martena A.",854034477,C,CPT,12S,10D,1,200,1/1/2018,1/31/2018,N,F,Medical
"Patterson, Rooney O.",162938062,C,SFC,16A,10E,3,312,4/1/2018,6/1/2018,N,P,
"Pitts, Mannix C.",66812306,C,SFC,15E,10A,3,312,4/1/2018,6/1/2018,R,P,
"Powers, Flynn M.",904696762,C,SSG,12W,10D,1,200,1/1/2018,1/31/2018,R,P,
"Powers, Flynn M.",904696762,C,SSG,12W,10D,2,201,2/18/2020,3/18/2018,N,F,Other
"Ramos, Shelly I.",248664146,C,CPT,12M,10A,1,200,1/1/2018,1/31/2018,N,F,Run
"Rosales, Gil G.",165344524,C,SSG,10F,10A,2,201,2/18/2020,3/18/2018,R,F,Exam 1
"Roth, Vanna V.",487363145,C,SSG,19S,10C,2,201,2/18/2020,3/18/2018,N,F,Exam 9
"Sanchez, Lael S.",209553551,C,CPT,12N,10A,1,200,1/1/2018,1/31/2018,N,F,Exam 2
"Serrano, Mohammad W.",286359542,C,SSG,12R,10A,1,200,1/1/2018,1/31/2018,R,P,
"Serrano, Mohammad W.",286359542,C,SSG,12R,10A,2,201,2/18/2020,3/18/2018,N,F,Exam 1
"Singleton, Tanek A.",847965597,C,CPT,15A,10D,2,201,2/18/2020,3/18/2018,N,P,
"Singleton, Tanek A.",847965597,C,CPT,15A,10D,3,312,4/1/2018,6/1/2018,N,P,
"Spence, Jescie U.",109335687,C,CPT,12E,10C,1,200,1/1/2018,1/31/2018,N,F,Exam 1
"Thornton, Sierra Q.",724009055,C,SSG,12O,10B,1,200,1/1/2018,1/31/2018,N,P,
"Thornton, Sierra Q.",724009055,C,SSG,12O,10B,2,201,2/18/2020,3/18/2018,N,P,
"Thornton, Sierra Q.",724009055,C,SSG,12O,10B,3,312,4/1/2018,6/1/2018,N,P,
"Underwood, Daria J.",232955856,C,CPT,12D,10E,1,200,1/1/2018,1/31/2018,N,P,
"Underwood, Daria J.",232955856,C,CPT,12D,10E,2,201,2/18/2020,3/18/2018,N,F,Other
"Valencia, MacKensie O.",489869149,C,SSG,12L,10D,1,200,1/1/2018,1/31/2018,N,P,
"Valencia, MacKensie O.",489869149,C,SSG,12L,10D,2,201,2/18/2020,3/18/2018,N,P,
"Valencia, MacKensie O.",489869149,C,SSG,12L,10D,3,312,4/1/2018,6/1/2018,N,F,Medical
"Willis, Warren S.",839134855,C,SSG,19L,10E,1,200,1/1/2018,1/31/2018,R,P,
"Willis, Warren S.",839134855,C,SSG,19L,10E,2,201,2/18/2020,3/18/2018,N,F,Exam 1
"Workman, Kyra W.",938000387,C,SSG,12R,10B,1,200,1/1/2018,1/31/2018,R,P,
"Workman, Kyra W.",938000387,C,SSG,12R,10B,2,201,2/18/2020,3/18/2018,N,F,Exam 8
"Wyatt, Tyrone S.",179579644,C,SSG,13A,10A,1,200,1/1/2018,1/31/2018,N,P,
"Wyatt, Tyrone S.",179579644,C,SSG,13A,10A,2,201,2/18/2020,3/18/2018,N,P,
"Wyatt, Tyrone S.",179579644,C,SSG,13A,10A,3,312,4/1/2018,6/1/2018,N,P,
